,b_Fbat107PT24.CEL,b_Fbat107PT30.CEL,b_Fbat107PT48.CEL,b_Fbat107PT52.CEL,knh_102_Fbat289PT24.CEL,knh_103_Fbat289PT48.CEL,knh_490_BS0001_Fbat1070_PT24_1.Rep.CEL,knh_491_BS0001_Fbat1070_PT30_1.Rep.CEL,knh_492_BS0001_Fbat1070_PT48_1.Rep.CEL,knh_494_BS0001_Fbat1077_PT24_2.Rep.CEL,knh_495_BS0001_Fbat1077_PT30_2.Rep.CEL,knh_496_BS0001_Fbat1077_PT48_2.Rep.CEL,knh_498_BS0001_Fbat1091_PT24_3.Rep.CEL,knh_499_BS0001_Fbat1091_PT30_3.Rep.CEL,knh_500_BS0001_Fbat1091_PT48_3.Rep.CEL,knh_502_BS3416_E_Fbat1071_PT24_1.Rep.CEL,knh_503_BS3416_E_Fbat1071_PT30_1.Rep.CEL,knh_504_BS3416_E_Fbat1071_PT48_1.Rep.CEL,knh_506_BS3416_E_Fbat1078_PT24_2.Rep.CEL,knh_507_BS3416_E_Fbat1078_PT30_2.Rep.CEL,knh_508_BS3416_E_Fbat1078_PT48_2.Rep.CEL,knh_510_BS3416_E_Fbat1092_PT24_3.Rep.CEL,knh_512_BS3416_E_Fbat1092_PT48_3.Rep.CEL,knh_532_BS3416_E_Fbat1092_PT30_3.Rep_wh.CEL,knh_655_BS5009_Fbat1374_PT24_1.Repl._No.2_repeated RNA.CEL,knh_657_BS5009_Fbat1379_PT24_2.Repl._No.6_repeated RNA.CEL,knh_659_BS5009_Fbat1383_PT24_3.Repl._No.10_repeated RNA.CEL,knh_660_BS5009_Fbat1374_PT30_1.Repl._No.3_rep_cDNA_new Yeast.CEL,knh_661_BS5009_Fbat1374_PT48_1.Repl._No.4_rep_cDNA_new Yeast.CEL,knh_662_BS5009_Fbat1379_PT30_2.Repl._No.7_rep_cDNA_new Yeast.CEL,knh_663_BS5009_Fbat1379_PT48_2.Repl._No.8_rep_cDNA_new Yeast.CEL,knh_664_BS5009_Fbat1383_PT30_3.Repl._No.11_rep_cDNA_new Yeas.CEL,knh_665_BS5009_Fbat1383_PT48_3.Repl._No.12_rep_cDNA_new Yeas.CEL,knh_679_BS5254_Fbat1442_PT24_1.Repl._No.38.CEL,knh_680_BS5254_Fbat1442_PT30_1.Repl._No.39.CEL,knh_681_BS5254_Fbat1442_PT48_1.Repl._No.40.CEL,knh_683_BS5254_Fbat1443_PT24_2.Repl._No.42.CEL,knh_684_BS5254_Fbat1443_PT30_2.Repl._No.43.CEL,knh_685_BS5254_Fbat1443_PT48_2.Repl._No.44.CEL,knh_687_BS5254_Fbat1444_PT24_3.Repl._No.46.CEL,knh_688_BS5254_Fbat1444_PT30_3.Repl._No.47.CEL,knh_689_BS5254_Fbat1444_PT48_3.Repl._No.48.CEL,knhb_039_Fbat152PT24.CEL,knhb_040_Fbat152PT48.CEL,knhb_041_Fbat152PT52.CEL,knhb_046_Fbat202PT24.CEL,knhb_047_Fbat202PT48.CEL,knhb_049_Fbat203PT24.CEL,knhb_050_Fbat203PT48.CEL,knhb_090_Fbat284PT24.CEL,knhb_091_Fbat284PT48.CEL,knhb_098_Fbat287PT24.CEL,knhb_099_Fbat287PT48.CEL,knhb_169_Fbat395PT24.CEL,knhb_170_Fbat395PT48.CEL,knhb_174_Fbat396PT24.CEL,knhb_175_Fbat396PT48.CEL,knhb_180_Fbat397PT24.CEL,knhb_181_Fbat397PT48.CEL,knhb_186_Fbat398PT24.CEL,knhb_187_Fbat398PT48.CEL,knhb_237_Fbat394PT24.CEL,knhb_238_Fbat394PT48.CEL,knhb_247_Fbat525PT24.CEL,knhb_248_Fbat525PT48.CEL,knhb_251_Fbat526PT24.CEL,knhb_252_Fbat526PT48.CEL,knhb_255_Fbat527PT24.CEL,knhb_256_Fbat527PT48.CEL,knhb_259_Fbat528PT24.CEL,knhb_260_Fbat528PT48.CEL
YOPF_i_at,7.404614291,7.88298102,7.560301846,8.510622574,8.544541175,7.825920297,10.24263465,5.439141714,10.07970056,8.873384849,8.98263386,8.70542534,8.342885992,6.149493339,7.880982562,5.635643324,6.154983596,6.870547845,9.018398205,8.238859783,9.529148384,9.609683353,8.805854236,10.2916293,7.759212902,7.706263821,5.25071529,8.628352349,7.997146858,7.491588515,9.160907529,7.872800322,7.908856648,9.133580742,10.05526484,9.80491775,9.821632053,9.260837142,9.533097417,9.436314764,9.611034498,8.611201262,7.981579718,8.173176291,7.423750805,8.183721332,9.038038458,8.807735997,9.296890225,7.912411062,9.835906254,7.798202868,7.705482268,8.225762559,8.428300241,6.13547572,10.58436797,6.295461703,8.364175746,7.233447095,8.592713442,7.289893996,8.886081998,8.962626408,8.182342789,9.705414432,8.813168359,7.028460962,8.90866623,7.227262356,9.462160473
NADB_at,6.774903328,7.411803025,9.793711337,9.860821739,7.470417956,8.571086234,7.849005653,10.74262534,8.216786266,7.742565127,8.613019655,8.044902258,7.48656939,8.616347909,8.454022046,7.185834111,6.985359354,8.084325065,7.745809543,7.366345302,7.989759597,7.311002763,7.203899071,7.285997248,7.412378642,7.376974793,7.100131109,7.855338179,9.442637256,7.536167897,7.618715927,7.396307544,9.435380909,7.155808012,11.11566169,7.790889475,7.326409203,11.49447401,7.501808913,7.860843607,11.47528258,7.934152486,7.055648551,8.977822108,8.771887474,10.60281729,9.401625637,7.485363935,8.526098573,9.237028802,9.142716664,9.841719945,9.055365717,10.14443103,8.003275622,8.426453158,7.714650131,7.70809224,8.423516107,9.369431428,10.26919494,6.864833124,7.903019326,7.780304178,8.186719113,10.65100151,7.817733567,7.420728957,7.979968287,7.106536149,8.687018981
YHDX_r_at,9.896658301,10.11846231,9.046650103,8.338007052,12.17155255,10.92182171,9.560039508,11.62662059,10.95303241,11.78906746,11.59901346,11.28436488,11.52473619,11.53522472,11.58166099,11.95580648,11.89492781,11.28943624,12.02146441,12.59275601,10.86034564,11.9672733,10.28652016,12.6816709,10.48701455,9.558587963,11.43000965,11.87667281,11.50021142,11.98482103,11.30725737,11.29467916,11.59507518,9.815315172,10.58877193,10.31284408,10.55251466,11.9404047,9.662074254,10.26378136,11.9719093,9.791079033,11.90011577,11.25276805,11.35399883,11.84559389,10.58716447,11.93221597,10.47192278,9.387989123,8.604432915,11.17943616,9.478904189,11.91500781,9.598791313,12.25589744,9.483765013,12.1511112,11.61404658,12.15613319,10.17346298,11.98053268,9.434264974,11.40616227,8.609618174,10.378297,10.03047686,9.745185509,8.738501598,10.02256461,8.121684694
ACOL_at,12.08934783,10.63841477,10.10309165,10.07698161,11.42173723,8.575417232,9.52638004,11.11619565,10.36531872,10.37006042,10.0538687,9.303122891,11.2287462,11.3062381,10.30846515,12.22373744,10.08107919,11.13758052,11.95282977,10.01834024,11.32336204,12.1370427,10.89567981,8.446170624,10.32578873,10.56006494,11.17278176,9.7372558,10.67825652,10.42442912,9.452606713,10.27066416,10.77565374,9.881602454,10.81044768,10.52228059,10.10487679,11.04332951,10.65911884,9.588907463,10.62859778,11.42905804,11.79648603,10.60741499,10.8766818,10.7175589,8.108144235,10.55326623,8.728021086,9.561241652,8.180270807,11.03882914,8.310697888,11.89616117,7.827442632,11.79234864,8.660697983,11.08581407,9.975372119,11.3317906,9.87276123,12.00622316,8.375526958,9.883278875,8.352627072,9.533222116,8.581191124,9.847378071,8.830946912,10.98063357,8.547113224
YXLH_at,8.736594386,8.681864741,9.399933106,8.504988268,9.637251858,12.10267687,7.308548345,9.721313546,9.845150007,9.728787037,10.29180429,11.13978401,9.342612142,9.84940488,10.50766922,9.417378527,9.507890335,9.462856299,9.656031829,10.23074344,9.780263785,8.64215419,9.104787269,9.19906605,8.04384858,8.129677689,8.478920012,9.010751916,9.425594091,9.143465042,9.137133246,8.930872742,9.368746279,8.187497956,7.957302654,8.460686548,7.829128298,8.614728484,8.458142691,7.999106373,8.706708735,8.562282948,9.747647214,11.35897519,11.69523375,10.02799371,11.43128829,9.080248962,10.84652049,9.856925804,12.16960037,10.14786921,11.74483026,9.628622353,9.024856061,9.052305984,9.500604509,8.994151692,10.61812981,9.542619602,9.604601342,9.539156339,11.24040383,8.166136857,11.20321569,8.658056112,10.76937436,9.662996578,11.02713521,9.995360422,12.06617018
YPUF_at,8.678453312,8.835665595,8.671053952,9.237192582,9.284334815,8.89659849,11.63555357,9.108135129,10.71549466,10.83593968,10.96196773,11.04153866,10.63549893,9.705300517,10.81079304,8.640352427,8.711901621,9.658047362,10.34017237,9.570915204,10.69290303,10.54084437,11.30471237,10.56197654,8.179959549,8.28586614,7.772112503,7.867043728,7.71429048,7.941980822,7.924676006,7.951137767,8.04860732,7.661435388,7.803949594,7.892705926,7.966291939,7.999902256,7.768957784,7.777192506,7.980439606,7.609377115,9.743738287,10.01823209,9.55544714,9.508907131,9.991010625,10.02042825,10.37112413,10.28469943,10.23769876,9.607623969,10.1588231,9.143166054,10.62266599,8.248511342,9.764583046,8.855804068,9.04028353,8.77378027,8.417322992,9.566597731,10.78895812,10.82192487,9.870368728,9.439378911,10.11039606,8.171774436,9.815598898,8.525417025,9.866774828
MTLD_at,9.155504953,9.612246252,9.560068998,9.314782898,7.98594655,8.280982596,8.166151896,9.063892699,8.477373196,8.130910142,8.194228607,8.247452226,8.36940825,8.319619092,8.223716341,11.65845369,10.80701166,9.917234921,10.55861013,10.1438504,9.477081717,10.31079826,9.172274731,9.274622145,10.03039034,10.69607243,10.42358809,10.4757985,11.03963269,11.4539884,10.79234093,11.27429287,10.33260566,9.951967166,9.12422377,9.958136853,10.31303678,10.37870214,9.357527137,9.550156115,9.779346459,9.463834879,8.337251323,8.899440671,8.780282319,8.673490147,8.381339968,8.069914628,8.513909057,8.413893231,8.464953087,8.147974091,8.417761055,8.233500851,8.058001667,8.588883111,7.829810951,8.41222267,8.038844982,8.230664561,7.552948624,8.058250679,7.931944237,8.665561959,8.239751688,8.075020252,8.001561472,11.3522985,8.055041842,11.68499871,8.394179698
ACOC_at,11.77600532,10.24848586,9.654464992,9.519612869,11.16134919,8.570089847,9.426973942,11.04253658,10.17040726,10.38557121,9.995470615,9.309113014,11.17498457,11.3007792,10.25100464,12.11354276,9.972079959,10.673167,11.92551228,9.842968111,11.03548858,11.77713025,10.3261009,8.651004014,10.68802789,10.63916072,11.10621163,9.435737972,10.44905088,10.01362658,8.962825656,9.26563645,10.34647046,9.611085023,10.40794011,11.32155311,9.879212726,10.92155295,10.42432696,9.390561839,9.477147109,11.25958437,11.56470458,10.21112241,10.64386542,10.42094094,8.018960341,10.21081806,8.693923339,9.318288828,8.051881456,10.81884003,8.310537043,11.67407217,7.496443088,11.72389749,9.034366135,11.1093436,9.816669685,11.2801866,9.595206867,11.6983152,8.179472788,9.806899403,8.30592223,9.53853976,8.254345556,9.759160608,8.58931903,10.91815852,8.587713828
ACOA_at,12.32412032,10.35848206,9.475664045,9.890362157,11.20320495,8.317287711,10.05420091,11.1556893,10.6034438,10.58384619,9.81021184,9.701351727,11.37147506,11.50479113,10.57920583,12.32949993,10.37492602,11.34241855,12.02780186,10.20961346,11.67026005,12.35009524,10.50144197,8.825849137,10.70378787,10.86916884,11.52175545,9.915670937,10.58135007,10.26831838,8.96475143,10.62772414,10.86094507,9.879443097,10.8960818,11.58808162,10.16695118,11.06583144,10.59816222,9.575674464,10.15803064,11.43695436,11.41220659,10.60893836,10.43485385,10.46869054,8.778633523,10.47132275,8.869716213,9.569404057,7.977149796,11.11189188,8.491049184,11.99765299,7.833677603,11.84166935,8.657406459,11.35600201,10.19095445,11.52809603,9.986173706,11.55886236,8.973672678,9.853683325,8.788277441,9.798549049,8.761565371,10.07455361,9.139667952,11.25143675,8.927952223
YORT_i_at,4.238468599,5.641318999,5.590551492,5.830079047,6.396334209,5.527843592,8.297024391,4.157519653,7.490498527,5.970042685,6.380450176,6.271923162,6.849778734,5.193891427,6.65935211,4.028331504,4.696245201,5.330019619,6.435310073,5.907897704,7.099807948,7.458911503,6.85848678,7.772078741,6.499171983,6.432818774,4.623426608,6.444564621,5.766460303,5.431594783,6.801607762,5.600182817,5.735323427,7.675157707,8.399193534,7.879855007,7.771218987,7.035584875,7.622525289,7.167624197,7.216789164,6.613599753,5.480681684,5.164872302,4.997996742,5.462748244,6.311210148,6.833141599,6.727022634,5.220367651,7.881696827,5.595349164,5.915694004,5.694765301,6.929127789,4.708460809,8.334767262,4.226781212,6.167774502,4.868924662,6.25268957,4.62716647,6.067972652,6.973781827,5.734016935,7.274460322,6.130808067,4.896076873,6.08656086,4.967320284,6.515330431
YRPE_at,9.104668271,9.259184205,9.405544248,9.269003789,6.670472994,8.541213142,7.231013191,9.051158693,8.880580095,6.933086442,7.538367577,8.014927985,6.51307515,8.560040498,8.114410698,5.764950914,6.099241762,6.355941542,6.350054177,6.275090927,6.313967173,6.550695269,6.703543851,6.665691569,6.592141255,6.561130529,6.208154286,6.362198336,9.383866862,6.351569097,8.670004857,6.130922196,9.044684601,6.654797238,6.936971261,8.451688642,6.91447341,6.718765804,9.162092401,6.566587965,6.51081761,9.308811554,8.045859743,8.09093044,9.049083822,8.188483876,8.878547032,8.002723274,7.872488377,6.572232146,7.920354483,8.023020651,8.113792421,6.415790601,7.101529917,5.838335989,6.980265875,6.392879247,6.594911763,6.227810478,6.779524048,8.504854588,7.593831537,6.656443029,7.106432681,6.91198297,7.444503285,8.556177728,6.84707066,7.113617142,6.925601036
YPUD_at,8.81565876,9.115309653,8.76531666,9.263058316,9.208522897,8.854176217,11.08405969,9.42715389,10.56154488,10.50235337,10.83548791,10.81027312,10.33141406,9.568578381,10.71190823,9.272402481,9.247049193,10.67427761,10.53786741,9.965970381,11.49575359,11.09772801,12.01071241,10.66014592,8.825493687,8.857528304,8.724062068,8.563195367,8.673283289,8.459951384,8.50236057,7.992225395,8.789584898,8.089934492,8.191786862,8.395945261,8.130744613,8.347920149,8.413882683,8.156944128,7.939875044,8.206705201,9.388429361,9.482256865,9.275840811,10.71137694,9.929821511,9.959550046,9.99030985,9.659360119,10.36830637,9.19438073,10.13238052,9.305898723,11.11048136,8.346401828,9.621833152,9.16857414,9.49325151,9.271071524,8.83123322,9.634777225,10.12787443,11.04369654,9.85556692,8.059752236,10.21266889,7.379808936,7.890178746,7.484519901,7.710418294
DEGQ_r_at,6.53894541,7.288430795,6.348049356,6.235947321,8.871624197,7.883675553,7.971779992,9.250654381,7.830911997,8.219448603,8.833166403,9.132841317,7.659542473,8.278870984,7.896300158,9.530060981,9.617178054,8.261909143,9.035189489,10.09449077,6.823622128,8.67703169,6.152433394,8.434194206,6.287273973,6.287465304,6.933923707,6.830596991,7.411753074,6.766833937,7.25934798,6.176329588,7.835269477,7.336235346,7.787580459,7.822728528,7.381710376,8.496708831,7.122934586,7.837060866,7.86772043,7.476704982,9.003512935,8.832873317,9.099663805,8.920797303,7.486256276,8.617609812,7.091947904,6.849926206,7.275440179,8.009483985,6.884054899,8.669014851,7.504092496,8.521801382,6.862096736,9.004826416,8.932569301,9.681854535,6.300414319,9.091509022,6.572312622,7.714491245,6.126617155,7.487564758,7.322184768,7.462892214,6.107948516,7.012735862,5.907067046
